sample,0,1,2,3,4,5,6,7,8,9
SAMPLE 129,0.20386994,1.0506812,0.6972607,-0.16310127,-0.18678379,0.1216463,0.19404143,-0.57015026,1.1050988,0.5812407
SAMPLE 130,0.26132292,0.92792493,0.45008695,-0.35352486,0.33914286,0.10366997,0.18173847,-0.6333081,1.0603468,0.74134994
SAMPLE 131,0.17496166,0.96215445,0.48763433,0.085794255,-0.28023273,0.3178094,0.124882564,-0.5941833,0.888863,0.61121446
SAMPLE 132,0.3665289,1.0796391,0.46189538,0.1548686,0.1868254,0.3025382,0.073942095,-0.65962404,0.6660341,0.6655829
SAMPLE 133,0.2441679,1.0477971,0.4491921,-0.029007293,-0.03488379,0.26378962,0.04953466,-0.6219686,0.9426972,0.67992955
SAMPLE 134,0.30259913,1.0944933,0.66528964,-0.2614063,-0.050037097,0.22239578,0.22021303,-0.59316254,1.0186718,0.6557845
SAMPLE 135,0.20176195,0.9497916,0.062532,0.07453419,0.017780684,-0.35523364,0.27465436,-0.5164998,1.2906967,0.83379465
SAMPLE 136,-0.32415646,0.27470198,-0.36723384,-0.83639693,-0.3915843,-0.26518413,0.3328487,-0.120978616,1.2473888,-0.07600021
SAMPLE 137,-0.42196164,0.3451274,0.26972896,-0.7467769,-0.29794276,0.1944,0.74558437,-0.095778055,1.4470919,0.03624603
SAMPLE 138,-0.35733867,0.20969814,-0.2063631,-0.95560265,-0.6101671,-0.28882664,0.14447466,-0.07197381,1.245101,-0.11250337
SAMPLE 139,-0.35181317,0.22473405,-0.17128855,-0.65846825,-0.41923168,-0.057418883,0.14520432,-0.098452516,1.2673705,-0.2100756
SAMPLE 140,-0.30361652,0.2964175,-0.23287314,-0.34523666,-0.33693218,-0.072589524,0.43363366,-0.17332743,1.3461936,-0.12917432
SAMPLE 141,0.17881371,0.91971195,0.17075829,0.05842237,-0.22288138,-0.122654736,0.08301044,-0.58783466,1.2398708,0.7376901
SAMPLE 142,-0.31912667,0.23603804,-0.21024062,-0.3525412,-0.22588837,-0.09186289,0.30699113,-0.1419174,1.3407847,-0.11830335
SAMPLE 143,-0.3509944,0.26152968,-0.15336227,-0.80665284,-0.39069563,-0.09783657,0.44723552,-0.0789809,1.3005325,-0.10002584
SAMPLE 144,-0.41159075,0.37451765,-0.10590859,-0.4382333,-0.77930415,0.3566574,0.68183756,-0.18768232,1.0088983,0.018190544
SAMPLE 145,-0.2660505,0.32808176,0.030107072,-0.26584867,-0.49089068,-0.16533951,0.06161169,-0.21989521,1.3804001,-0.16831551
SAMPLE 146,0.47806436,0.50441206,0.41396642,0.71859246,-0.8199191,-0.35799786,-0.24249457,-0.6253044,1.0410274,-0.26910475
SAMPLE 147,-0.2985137,-0.07235774,0.14226548,0.04892527,-0.3106015,0.19543917,-0.49588335,-0.33909932,1.102168,0.4137522
SAMPLE 148,0.3955316,0.35192102,0.47826195,0.6263134,-0.70527637,-0.14151512,-0.32717165,-0.60142946,0.9274723,-0.16240463
SAMPLE 149,0.39044896,0.3989948,0.40448013,0.6772811,-0.68266577,-0.16786483,-0.26370355,-0.57686734,0.8577619,-0.18911107
SAMPLE 150,0.2634524,0.99952394,0.11008446,-0.008167435,0.14988132,0.6875295,0.5672146,-0.58334565,0.9376572,0.6647842
SAMPLE 151,0.11617385,0.9174903,0.07347081,-0.13239937,-0.020996653,-0.27528605,0.1316413,-0.4817895,1.3662446,0.6752131
SAMPLE 152,0.1531639,0.93234485,0.046285428,0.00055025565,0.029452415,-0.3845394,0.3067454,-0.4876744,1.3969957,0.8208511
SAMPLE 153,0.10966288,0.7828424,-0.1812173,-0.61344504,-0.17341748,-0.17475677,0.044678997,-0.47561646,1.0949156,0.5654535
SAMPLE 154,0.26602155,1.0372796,0.45594788,-0.53957915,0.11848284,0.10600152,0.16172056,-0.60354453,1.055967,0.617984
SAMPLE 155,0.16669266,0.92061746,0.020335013,0.05944965,0.16612668,-0.2507658,0.17210802,-0.5657944,1.206551,0.693795
SAMPLE 156,0.09995802,0.8088672,0.25986767,0.22532408,-0.15585446,0.5744605,0.44587103,-0.46117884,0.87182814,0.652312
