sample,cluster,methylation_class
SAMPLE 251,3,"GBM, RTK II"
SAMPLE 252,3,"GBM, MES"
SAMPLE 253,3,"GBM, MES"
SAMPLE 254,3,"GBM, RTK II"
SAMPLE 255,3,"GBM, RTK II"
SAMPLE 256,3,"GBM, RTK II"
SAMPLE 257,3,"GBM, RTK I"
SAMPLE 258,3,"GBM, RTK II"
SAMPLE 259,14,"DMG, K27"
SAMPLE 260,7,"GBM, G34"
SAMPLE 261,7,"GBM, G34"
SAMPLE 262,14,"DMG, K27"
SAMPLE 263,7,"GBM, G34"
SAMPLE 264,14,"DMG, K27"
SAMPLE 265,7,"GBM, G34"
SAMPLE 266,14,"DMG, K27"
SAMPLE 267,3,"GBM, RTK II"
SAMPLE 268,3,"GBM, RTK II"
SAMPLE 269,3,"GBM, RTK II"
SAMPLE 270,3,"GBM, RTK II"
SAMPLE 271,3,"GBM, RTK I"
SAMPLE 272,3,"GBM, RTK II"
SAMPLE 273,11,"EPN, RELA"
SAMPLE 274,11,"EPN, PF B"
SAMPLE 275,4,"EPN, PF B"
SAMPLE 276,13,"MB, SHH CHL AD"
SAMPLE 277,13,"MB, SHH CHL AD"
SAMPLE 278,13,"MB, G3"
SAMPLE 279,13,"MB, WNT"
SAMPLE 280,13,"MB, G4"
SAMPLE 281,13,"MB, G4"
SAMPLE 282,13,"MB, WNT"
SAMPLE 283,13,"MB, WNT"
SAMPLE 284,13,"MB, G4"
SAMPLE 285,13,"MB, G4"
SAMPLE 286,4,"LGG, PA PF"
SAMPLE 287,4,"LGG, PA PF"
SAMPLE 288,4,"LGG, PA PF"
SAMPLE 289,4,"LGG, PA PF"
SAMPLE 290,13,"MB, WNT"
SAMPLE 291,13,"MB, G4"
SAMPLE 292,13,"MB, G4"
SAMPLE 293,13,"MB, G4"
SAMPLE 294,13,"MB, WNT"
SAMPLE 295,13,"MB, WNT"
SAMPLE 296,4,"LGG, PA PF"
SAMPLE 297,4,"LGG, PA PF"
SAMPLE 298,4,"LGG, PA MID"
SAMPLE 299,4,"LGG, PA PF"
SAMPLE 300,4,"LGG, PA PF"
SAMPLE 301,4,"LGG, PA PF"
SAMPLE 302,4,"LGG, PA MID"
SAMPLE 303,4,"LGG, PA PF"
SAMPLE 304,4,"LGG, PA PF"
