sample,dim1,dim2,cluster
SAMPLE 573,8.705904,19.607857,13
SAMPLE 574,9.00208,19.14241,13
SAMPLE 575,8.94477,19.36599,13
SAMPLE 576,8.589437,19.568958,13
SAMPLE 577,-5.0995746,-6.2803082,13
SAMPLE 578,-4.5763655,-7.4972715,13
SAMPLE 579,-9.915747,-2.9934797,13
SAMPLE 580,-4.6941257,-5.8766418,13
SAMPLE 581,7.469372,18.497124,1
SAMPLE 582,-5.30459,-7.5334773,13
SAMPLE 583,-5.242774,-6.5577593,13
SAMPLE 584,8.288233,19.314531,13
SAMPLE 585,-5.377491,-6.993997,13
SAMPLE 586,-4.537701,-5.68875,13
SAMPLE 587,7.5889783,18.547335,1
SAMPLE 588,-4.6608176,-6.9143724,13
SAMPLE 589,0.5948264,5.1365614,4
SAMPLE 590,2.1929967,5.6154156,4
SAMPLE 591,1.3660573,5.317617,4
SAMPLE 592,1.321057,5.2408605,4
SAMPLE 593,0.60922796,5.4250607,4
SAMPLE 594,1.2927707,5.420008,4
SAMPLE 595,1.1959816,5.2809267,4
SAMPLE 596,0.6917722,6.25641,4
SAMPLE 597,0.6158924,5.3807425,4
SAMPLE 598,-0.20350108,5.377177,4
SAMPLE 599,0.9906915,5.371415,4
SAMPLE 600,1.290983,5.216248,4
SAMPLE 601,0.47809523,5.4410033,4
SAMPLE 602,2.5967638,5.5560813,4
SAMPLE 603,0.12203217,5.5673313,4
SAMPLE 604,0.7148365,6.29385,4
SAMPLE 605,-0.08030934,5.246961,4
SAMPLE 606,1.2955884,6.653566,4
SAMPLE 607,-0.17135139,5.3810916,4
SAMPLE 608,0.7667592,6.0257883,4
SAMPLE 609,8.818619,5.1493034,5
SAMPLE 610,12.44159,-10.145372,2
SAMPLE 611,8.896645,19.403715,13
SAMPLE 612,-4.9330907,-7.6925235,13
