sample,cluster
SAMPLE 960,11
SAMPLE 961,4
SAMPLE 962,4
SAMPLE 963,11
SAMPLE 964,11
SAMPLE 965,11
SAMPLE 966,11
SAMPLE 967,11
SAMPLE 968,11
SAMPLE 969,11
SAMPLE 970,11
SAMPLE 971,6
SAMPLE 972,11
SAMPLE 973,14
SAMPLE 974,8
SAMPLE 975,4
SAMPLE 976,13
SAMPLE 977,13
SAMPLE 978,13
SAMPLE 979,13
SAMPLE 980,11
SAMPLE 981,6
SAMPLE 982,6
SAMPLE 983,13
SAMPLE 984,13
SAMPLE 985,13
SAMPLE 986,5
SAMPLE 987,5
SAMPLE 988,12
SAMPLE 989,4
SAMPLE 990,11
SAMPLE 991,1
SAMPLE 992,13
SAMPLE 993,6
SAMPLE 994,4
SAMPLE 995,6
SAMPLE 996,6
SAMPLE 997,4
SAMPLE 998,4
SAMPLE 999,4
SAMPLE 1000,11
SAMPLE 1001,11
SAMPLE 1002,11
SAMPLE 1003,11
SAMPLE 1004,11
SAMPLE 1005,4
SAMPLE 1006,11
SAMPLE 1007,11
SAMPLE 1008,4
SAMPLE 1009,11
SAMPLE 1010,11
SAMPLE 1011,11
SAMPLE 1012,11
SAMPLE 1013,11
SAMPLE 1014,11
SAMPLE 1015,11
SAMPLE 1016,11
SAMPLE 1017,11
SAMPLE 1018,11
SAMPLE 1019,11
SAMPLE 1020,11
SAMPLE 1021,11
SAMPLE 1022,11
SAMPLE 1023,11
SAMPLE 1024,11
SAMPLE 1025,11
SAMPLE 1026,11
SAMPLE 1027,11
SAMPLE 1028,11
SAMPLE 1029,11
SAMPLE 1030,11
SAMPLE 1031,11
SAMPLE 1032,11
SAMPLE 1033,11
SAMPLE 1034,11
SAMPLE 1035,11
SAMPLE 1036,11
SAMPLE 1037,11
SAMPLE 1038,1
SAMPLE 1039,13
SAMPLE 1040,2
SAMPLE 1041,10
SAMPLE 1042,10
SAMPLE 1043,11
SAMPLE 1044,4
SAMPLE 1045,4
SAMPLE 1046,6
SAMPLE 1047,6
SAMPLE 1048,4
SAMPLE 1049,4
SAMPLE 1050,6
SAMPLE 1051,4
SAMPLE 1052,4
SAMPLE 1053,4
SAMPLE 1054,4
SAMPLE 1055,4
SAMPLE 1056,4
SAMPLE 1057,4
SAMPLE 1058,4
SAMPLE 1059,4
SAMPLE 1060,4
SAMPLE 1061,4
SAMPLE 1062,4
SAMPLE 1063,6
SAMPLE 1064,1
SAMPLE 1065,1
SAMPLE 1066,1
SAMPLE 1067,6
SAMPLE 1068,6
SAMPLE 1069,6
SAMPLE 1070,11
SAMPLE 1071,6
SAMPLE 1072,6
SAMPLE 1073,6
SAMPLE 1074,6
SAMPLE 1075,6
SAMPLE 1076,6
SAMPLE 1077,6
SAMPLE 1078,6
SAMPLE 1079,6
SAMPLE 1080,6
SAMPLE 1081,6
SAMPLE 1082,4
SAMPLE 1083,4
SAMPLE 1084,4
SAMPLE 1085,4
SAMPLE 1086,4
SAMPLE 1087,11
SAMPLE 1088,9
SAMPLE 1089,9
SAMPLE 1090,6
SAMPLE 1091,6
SAMPLE 1092,4
SAMPLE 1093,4
SAMPLE 1094,4
SAMPLE 1095,4
SAMPLE 1096,4
SAMPLE 1097,6
SAMPLE 1098,6
SAMPLE 1099,12
SAMPLE 1100,4
SAMPLE 1101,4
SAMPLE 1102,4
SAMPLE 1103,4
SAMPLE 1104,4
SAMPLE 1105,4
SAMPLE 1106,4
SAMPLE 1107,4
SAMPLE 1108,4
SAMPLE 1109,4
SAMPLE 1110,4
SAMPLE 1111,13
SAMPLE 1112,6
SAMPLE 1113,4
SAMPLE 1114,4
SAMPLE 1115,4
SAMPLE 1116,13
SAMPLE 1117,4
SAMPLE 1118,11
SAMPLE 1119,11
SAMPLE 1120,4
SAMPLE 1121,11
SAMPLE 1122,11
SAMPLE 1123,11
SAMPLE 1124,4
SAMPLE 1125,11
SAMPLE 1126,4
SAMPLE 1127,4
SAMPLE 1128,11
SAMPLE 1129,4
SAMPLE 1130,11
SAMPLE 1131,11
SAMPLE 1132,11
SAMPLE 1133,11
SAMPLE 1134,11
SAMPLE 1135,11
SAMPLE 1136,4
SAMPLE 1137,4
SAMPLE 1138,4
SAMPLE 1139,4
SAMPLE 1140,4
SAMPLE 1141,4
SAMPLE 1142,4
SAMPLE 1143,4
SAMPLE 1144,4
SAMPLE 1145,4
SAMPLE 1146,4
SAMPLE 1147,4
SAMPLE 1148,6
SAMPLE 1149,1
SAMPLE 1150,4
SAMPLE 1151,4
SAMPLE 1152,4
SAMPLE 1153,4
SAMPLE 1154,4
SAMPLE 1155,4
SAMPLE 1156,6
SAMPLE 1157,4
SAMPLE 1158,6
SAMPLE 1159,5
SAMPLE 1160,5
SAMPLE 1161,5
SAMPLE 1162,6
SAMPLE 1163,6
SAMPLE 1164,14
SAMPLE 1165,6
SAMPLE 1166,6
SAMPLE 1167,11
SAMPLE 1168,13
SAMPLE 1169,13
SAMPLE 1170,14
SAMPLE 1171,11
SAMPLE 1172,7
SAMPLE 1173,11
SAMPLE 1174,4
SAMPLE 1175,4
SAMPLE 1176,4
SAMPLE 1177,6
SAMPLE 1178,6
SAMPLE 1179,6
SAMPLE 1180,4
SAMPLE 1181,4
SAMPLE 1182,11
SAMPLE 1183,4
SAMPLE 1184,4
SAMPLE 1185,4
SAMPLE 1186,4
SAMPLE 1187,4
SAMPLE 1188,14
SAMPLE 1189,3
SAMPLE 1190,4
SAMPLE 1191,4
SAMPLE 1192,13
SAMPLE 1193,2
SAMPLE 1194,4
SAMPLE 1195,4
SAMPLE 1196,11
SAMPLE 1197,4
SAMPLE 1198,11
SAMPLE 1199,11
SAMPLE 1200,11
SAMPLE 1201,4
SAMPLE 1202,11
SAMPLE 1203,7
SAMPLE 1204,4
SAMPLE 1205,6
SAMPLE 1206,12
SAMPLE 1207,10
SAMPLE 1208,4
SAMPLE 1209,12
SAMPLE 1210,11
SAMPLE 1211,1
SAMPLE 1212,1
SAMPLE 1213,1
SAMPLE 1214,14
SAMPLE 1215,11
SAMPLE 1216,9
SAMPLE 1217,9
SAMPLE 1218,9
SAMPLE 1219,11
SAMPLE 1220,4
SAMPLE 1221,2
SAMPLE 1222,6
SAMPLE 1223,6
SAMPLE 1224,6
SAMPLE 1225,6
SAMPLE 1226,6
SAMPLE 1227,6
SAMPLE 1228,6
SAMPLE 1229,6
SAMPLE 1230,6
SAMPLE 1231,6
SAMPLE 1232,6
SAMPLE 1233,6
SAMPLE 1234,6
SAMPLE 1235,6
SAMPLE 1236,6
SAMPLE 1237,6
SAMPLE 1238,6
SAMPLE 1239,6
SAMPLE 1240,11
SAMPLE 1241,13
SAMPLE 1242,13
SAMPLE 1243,1
SAMPLE 1244,2
SAMPLE 1245,2
SAMPLE 1246,2
SAMPLE 1247,2
